公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,lat,lng,市鎮鄉村里,area1,area2,area3
22555003,統一超商股份有限公司,97179184,台中縣第七十四分公司,臺中市后里區甲后路一段349號,1,24.3089559,120.7241365,台灣台中市后里區義德里,台中市,后里區,義德里
22555003,統一超商股份有限公司,97179190,高雄巿第１５０分公司,高雄市三民區陽明路３８５號,3,22.644872,120.342384,台灣高雄市三民區本上里,高雄市,三民區,本上里
22555003,統一超商股份有限公司,97179564,新北市第二五一分公司,新北市三峽區中正路二段534號,1,24.906563,121.360625,台灣新北市三峽區大埔里,新北市,三峽區,大埔里
22555003,統一超商股份有限公司,97179570,苗栗縣第８分公司,苗栗縣苗栗市府前路120號,1,24.5605392,120.8181055,台灣苗栗縣苗栗市建功里,苗栗縣,苗栗市,建功里
22555003,統一超商股份有限公司,97179585,苗栗縣第９分公司,苗栗縣苗栗市中華路１４２號,3,24.5737752,120.8249365,台灣苗栗縣苗栗市福星里,苗栗縣,苗栗市,福星里
22555003,統一超商股份有限公司,97179591,苗栗縣第十分公司,苗栗縣苗栗市清華里為公路167-1號,1,24.570955,120.826845,台灣苗栗縣苗栗市清華里,苗栗縣,苗栗市,清華里
22555003,統一超商股份有限公司,97179614,台北巿第３０８分公司,臺北市北投區致遠二路149號,1,25.1174236,121.5129853,台灣台北市北投區吉利里,台北市,北投區,吉利里
22555003,統一超商股份有限公司,97179620,桃園縣第９０分公司,桃園市楊梅區中山北路二段１１３號,1,24.9082614,121.1700428,台灣桃園市楊梅區三民里,桃園市,楊梅區,三民里
22555003,統一超商股份有限公司,97179635,台中巿第２５分公司,臺中市潭子區雅潭路一段167號,3,24.2160876,120.7008206,台灣台中市潭子區甘蔗里,台中市,潭子區,甘蔗里
22555003,統一超商股份有限公司,97179641,雲林縣第１８分公司,雲林縣斗六市鎮北里二十六鄰鎮北路１３８號,3,23.7150977,120.5430449,台灣雲林縣斗六市鎮北里,雲林縣,斗六市,鎮北里
22555003,統一超商股份有限公司,97179662,台北巿第３１９分公司,臺北市萬華區西寧南路85號,1,25.0455789,121.506847,台灣台北市萬華區萬壽里,台北市,萬華區,萬壽里
22555003,統一超商股份有限公司,97179678,桃園縣第九十一分公司,桃園市龜山區復興北路１號,3,25.059746,121.3689434,台灣桃園市龜山區文化里,桃園市,龜山區,文化里
22555003,統一超商股份有限公司,97179874,台北巿第３２８分公司,臺北市大同區民權西路１２０號,3,25.0627462,121.5167907,台灣台北市大同區民權里,台北市,大同區,民權里
22555003,統一超商股份有限公司,97179889,台北縣第２５２分公司,新北市三重區集美街２０２號,1,25.0540528,121.4911298,台灣新北市三重區光明里,新北市,三重區,光明里
22555003,統一超商股份有限公司,97179895,台北縣第２５３分公司,新北市三峽區大同路７號,3,24.9288531,121.37759,台灣新北市三峽區介壽里,新北市,三峽區,介壽里
22555003,統一超商股份有限公司,97179902,台北縣第２５４分公司,新北市新莊區中泰里５鄰中港一街１３３號,3,25.0450408,121.4482294,台灣新北市新莊區中泰里,新北市,新莊區,中泰里
22853565,來來超商股份有限公司,1582573,第二分公司,臺北市士林區中山北路５段７０２號,1,25.0977994,121.527635,台灣台北市士林區福志里,台北市,士林區,福志里
22853565,來來超商股份有限公司,1582588,臺北三民路分公司,臺北市松山區三民路１１３巷１號,3,25.0578551,121.5633197,台灣台北市松山區三民里,台北市,松山區,三民里
22853565,來來超商股份有限公司,1658910,第三分公司,臺北市康寧路３段１８９巷２１弄２６號,3,25.0714016,121.6123195,台灣台北市內湖區明湖里,台北市,內湖區,明湖里
22853565,來來超商股份有限公司,16080107,第三０二分公司,新竹市東大路２段５４３號,3,24.8216742,120.959515,台灣新竹市北區士林里,新竹市,北區,士林里
22853565,來來超商股份有限公司,16080633,第３０１分公司,高雄市三民區建興路１２０號,3,22.643291,120.3274819,台灣高雄市三民區寶興里,高雄市,三民區,寶興里
22853565,來來超商股份有限公司,16081295,第３０３分公司,臺北市北投區公館路１６５號,3,25.12944,121.506818,台灣台北市北投區奇岩里,台北市,北投區,奇岩里
22853565,來來超商股份有限公司,16081345,第３０４分公司,新北市新店區安祥路１１１號,3,24.956978,121.4753378,台灣新北市新店區香坡里,新北市,新店區,香坡里
22853565,來來超商股份有限公司,16081794,第３０５分公司,臺北市文山區辛亥路４段９９號,1,25.006712,121.558718,台灣台北市文山區興昌里,台北市,文山區,興昌里
22853565,來來超商股份有限公司,16083097,第三０六分公司,彰化縣彰化市旭光路２７３號,3,24.070599,120.544382,台灣彰化縣彰化市光南里,彰化縣,彰化市,光南里
22853565,來來超商股份有限公司,16083126,第三０八分公司,新竹市中正路３４８號,3,24.8139508,120.9631551,台灣新竹市北區水田里,新竹市,北區,水田里
