code3,Month,InvoiceCount,SalesAmount,StoreCount,InvoiceCount_AVG,SalesAmount_AVG,StoreCount_AVG
A6400024014,5|3|11|2|10|9|8|7|1|4|12|6,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400018007,2|10|1|7|11|6|9|3|12|5|4|8,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400018008,1|10|2|6|4|3|8|12|5|9|7|11,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400018009,8|7|2|6|10|3|12|5|11|4|9|1,318418|324109|206816|357406|581862|320435|571385|368853|566983|297155|525927|267941,59066523|57868311|40687494|57740541|77983785|53134980|76424461|61537716|73714768|51700462|73163205|42323542,17|17|18|17|27|18|28|18|28|18|27|16,392274.1666666667,60445482.333333336,20.75
A6400018010,1|4|2|6|8|7|10|5|9|12|3|11,81886|84293|73053|81817|76684|84762|114175|90061|86298|108121|84473|108421,18205904|17397461|16880144|17817072|17109467|18481721|22424643|18679614|18678174|21002099|17454128|20859534,5|5|5|5|5|5|6|5|5|6|5|6,89503.66666666667,18749163.416666668,5.25
A6400024015,3|6|10|5|9|1|4|12|8|2|7|11,78712|83571|83064|91794|86472|66567|84024|76933|80445|63219|88525|75667,9173781|9877463|9620000|10789288|10408861|8280491|9734342|9471784|10180891|10052058|10522268|8944319,13|12|13|12|13|12|13|14|14|12|13|13,79916.08333333333,9754628.833333334,12.833333333333334
A6400024016,7|5|9|6|10|4|8|12|2|11|1|3,210574|240789|222631|231654|232223|222097|211890|226954|195534|225034|207901|228219,63863146|58656704|59239255|58603512|61937631|54433211|65195632|57975605|57009576|56603970|55197482|55143543,13|13|14|13|14|13|13|14|13|14|13|13,221291.66666666666,58654938.916666664,13.333333333333334
A6400024017,3|5|2|6|9|12|1|7|8|10|4|11,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400024018,1|6|5|2|10|9|4|8|12|7|3|11,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400024019,2|7|11|3|5|9|4|8|1|12|6|10,82152|101727|95270|104191|103847|90414|91079|95002|95594|94830|96706|96897,202499090|272328423|316078631|329093403|317442668|256699531|282690621|280784073|304302983|291358067|243001737|344796954,7|8|8|8|8|9|8|8|7|8|8|9,95642.41666666667,286756348.4166667,8.0
A6400018011,4|10|2|7|5|6|11|12|1|9|3|8,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400018012,1|4|8|6|10|9|3|7|2|12|5|11,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400018013,8|9|7|6|11|12|5|10|4,-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400018014,5|10|9|8|1|4|7|12|2|6|3|11,65745|65546|62924|58373|60237|60150|62578|63183|51281|59919|63011|62444,18989291|19682290|18764745|18142211|18300330|17214273|19022994|18767632|16032599|18587499|17882041|18398675,6|7|6|6|6|6|6|7|6|6|6|7,61282.583333333336,18315381.666666668,6.25
A6400018015,10|1|4|6|8|9|7|2|12|11|3|5,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400018016,9|2|1|3|8|6|10|4|7|11|12|5,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
